#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2484 2.1123E-03 1.0752E-03  -1.19   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE= 6.000 EEPS=271
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
 248  1.038008  3.6576  1.6254  2.4126  1.1966 -0.3926 -1.1999 -1.4872 -1.6397 -1.6973
 249  1.038068  3.6548  1.5743  2.4526  1.1601 -0.4670 -1.2904 -1.5837 -1.7404 -1.7998
 250  1.038124  3.6520  1.5242  2.4914  1.1282 -0.5376 -1.3777 -1.6772 -1.8380 -1.8992
 251  1.038175  3.6492  1.4748  2.5297  1.0988 -0.6058 -1.4631 -1.7688 -1.9340 -1.9970
 252  1.038222  3.6464  1.4267  2.5667  1.0721 -0.6709 -1.5452 -1.8573 -2.0268 -2.0916
 253  1.038265  3.6437  1.3790  2.6034  1.0477 -0.7341 -1.6261 -1.9447 -2.1185 -2.1851
 254  1.038304  3.6410  1.3324  2.6390  1.0266 -0.7940 -1.7038 -2.0289 -2.2073 -2.2757
 255  1.038341  3.6382  1.2865  2.6741  1.0074 -0.8520 -1.7797 -2.1115 -2.2943 -2.3646
 256  1.038375  3.6356  1.2415  2.7084  0.9906 -0.9075 -1.8537 -2.1920 -2.3793 -2.4513
 257  1.038406  3.6330  1.1981  2.7415  0.9755 -0.9603 -1.9248 -2.2694 -2.4610 -2.5349
 258  1.038435  3.6304  1.1548  2.7744  0.9618 -1.0118 -1.9949 -2.3460 -2.5422 -2.6178
 259  1.038462  3.6278  1.1127  2.8064  0.9495 -1.0607 -2.0625 -2.4200 -2.6207 -2.6981
 260  1.038487  3.6253  1.0713  2.8378  0.9383 -1.1079 -2.1282 -2.4924 -2.6976 -2.7769
 261  1.038510  3.6228  1.0309  2.8683  0.9288 -1.1525 -2.1914 -2.5625 -2.7723 -2.8534
 262  1.038532  3.6204  0.9910  2.8983  0.9202 -1.1956 -2.2531 -2.6311 -2.8457 -2.9286
 263  1.038553  3.6179  0.9520  2.9277  0.9122 -1.2370 -2.3129 -2.6982 -2.9174 -3.0019
 264  1.038571  3.6156  0.9138  2.9565  0.9045 -1.2771 -2.3712 -2.7634 -2.9874 -3.0734
 265  1.038589  3.6133  0.8765  2.9845  0.8977 -1.3154 -2.4281 -2.8271 -3.0557 -3.1434
 266  1.038606  3.6110  0.8395  3.0122  0.8915 -1.3522 -2.4835 -2.8897 -3.1229 -3.2121
 267  1.038621  3.6087  0.8034  3.0391  0.8857 -1.3875 -2.5369 -2.9505 -3.1883 -3.2791
 268  1.038636  3.6065  0.7681  3.0655  0.8799 -1.4219 -2.5895 -3.0101 -3.2525 -3.3447
 269  1.038651  3.6043  0.7333  3.0915  0.8740 -1.4550 -2.6404 -3.0684 -3.3155 -3.4090
 270  1.038664  3.6021  0.6994  3.1169  0.8682 -1.4864 -2.6894 -3.1252 -3.3770 -3.4718
 271  1.038676  3.6000  0.6661  3.1416  0.8620 -1.5165 -2.7364 -3.1806 -3.4370 -3.5332
 272  1.038688  3.5979  0.6336  3.1658  0.8556 -1.5450 -2.7815 -3.2345 -3.4957 -3.5932
 273  1.038698  3.5959  0.6018  3.1896  0.8485 -1.5724 -2.8248 -3.2874 -3.5534 -3.6523
 274  1.038709  3.5938  0.5704  3.2129  0.8417 -1.5980 -2.8661 -3.3389 -3.6099 -3.7099
 275  1.038719  3.5919  0.5399  3.2354  0.8346 -1.6213 -2.9050 -3.3891 -3.6651 -3.7663
 276  1.038728  3.5899  0.5100  3.2576  0.8269 -1.6434 -2.9418 -3.4380 -3.7192 -3.8215
 277  1.038738  3.5880  0.4809  3.2792  0.8187 -1.6645 -2.9769 -3.4857 -3.7720 -3.8753
 278  1.038745  3.5863  0.4532  3.2997  0.8102 -1.6836 -3.0082 -3.5310 -3.8225 -3.9268
 279  1.038753  3.5846  0.4282  3.3182  0.8012 -1.7003 -3.0350 -3.5718 -3.8682 -3.9733
