#NUMBER OF AGES= 1 MAGS= 6
#----------------------------------------------------       
#MIX-LEN  Y      Z          Zeff        [Fe/H] [a/Fe]
# 1.9380  0.2484 2.1123E-03 1.0752E-03  -1.19   0.40 
#----------------------------------------------------       
#**PHOTOMETRIC SYSTEM**: DECam (AB)
#----------------------------------------------------       
#AGE= 6.000 EEPS=271
#EEP   M/Mo    LogTeff  LogG   LogL/Lo DECam_u DECam_g DECam_r DECam_i DECam_z DECam_Y
  63  0.752731  3.7639  4.5908 -0.2669  6.4920  5.7355  5.3469  5.2464  5.2277  5.2283
  64  0.757970  3.7661  4.5846 -0.2491  6.4280  5.6853  5.3039  5.2063  5.1897  5.1912
  65  0.763165  3.7682  4.5784 -0.2315  6.3654  5.6360  5.2615  5.1668  5.1522  5.1547
  66  0.768326  3.7702  4.5722 -0.2142  6.3034  5.5874  5.2200  5.1283  5.1155  5.1189
  67  0.773457  3.7723  4.5660 -0.1970  6.2427  5.5395  5.1792  5.0903  5.0794  5.0837
  68  0.778564  3.7743  4.5599 -0.1801  6.1833  5.4923  5.1389  5.0528  5.0437  5.0489
  69  0.783645  3.7763  4.5537 -0.1633  6.1252  5.4458  5.0992  5.0157  5.0084  5.0145
  70  0.788709  3.7781  4.5475 -0.1467  6.0683  5.4000  5.0598  4.9791  4.9735  4.9803
  71  0.793735  3.7800  4.5413 -0.1303  6.0128  5.3548  5.0210  4.9429  4.9389  4.9466
  72  0.798706  3.7818  4.5350 -0.1142  5.9586  5.3103  4.9826  4.9071  4.9047  4.9131
  73  0.803603  3.7835  4.5287 -0.0982  5.9057  5.2666  4.9448  4.8718  4.8710  4.8801
  74  0.808413  3.7852  4.5224 -0.0826  5.8549  5.2235  4.9073  4.8367  4.8373  4.8472
  75  0.813124  3.7869  4.5162 -0.0671  5.8051  5.1813  4.8704  4.8022  4.8043  4.8148
  76  0.817727  3.7885  4.5098 -0.0519  5.7567  5.1397  4.8341  4.7683  4.7718  4.7829
  77  0.822199  3.7900  4.5034 -0.0370  5.7096  5.0991  4.7985  4.7349  4.7398  4.7515
  78  0.826545  3.7916  4.4972 -0.0225  5.6635  5.0592  4.7636  4.7023  4.7085  4.7208
  79  0.830758  3.7930  4.4910 -0.0082  5.6187  5.0203  4.7295  4.6703  4.6778  4.6906
  80  0.834846  3.7944  4.4850  0.0059  5.5749  4.9821  4.6960  4.6390  4.6477  4.6611
  81  0.838827  3.7959  4.4789  0.0196  5.5321  4.9446  4.6631  4.6082  4.6183  4.6321
  82  0.843496  3.7975  4.4718  0.0359  5.4816  4.9004  4.6243  4.5719  4.5833  4.5978
  83  0.848082  3.7992  4.4646  0.0520  5.4320  4.8568  4.5858  4.5357  4.5484  4.5636
  84  0.852595  3.8008  4.4573  0.0679  5.3825  4.8136  4.5477  4.4999  4.5139  4.5298
  85  0.857055  3.8023  4.4499  0.0837  5.3336  4.7708  4.5099  4.4644  4.4796  4.4961
  86  0.861462  3.8039  4.4425  0.0996  5.2852  4.7282  4.4722  4.4290  4.4454  4.4624
  87  0.865813  3.8054  4.4350  0.1152  5.2374  4.6861  4.4348  4.3937  4.4113  4.4289
  88  0.870110  3.8068  4.4274  0.1308  5.1901  4.6443  4.3976  4.3586  4.3773  4.3956
  89  0.874345  3.8082  4.4197  0.1463  5.1436  4.6029  4.3606  4.3237  4.3435  4.3623
  90  0.878510  3.8096  4.4118  0.1616  5.0978  4.5620  4.3240  4.2890  4.3098  4.3292
  91  0.882592  3.8108  4.4038  0.1767  5.0528  4.5215  4.2877  4.2546  4.2763  4.2962
  92  0.886589  3.8121  4.3957  0.1917  5.0086  4.4817  4.2518  4.2205  4.2431  4.2635
  93  0.890512  3.8133  4.3875  0.2065  4.9650  4.4423  4.2162  4.1867  4.2101  4.2310
